gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000141510	TP53	tumor protein p53	17p13.1	protein_coding	1008	2116	47.64	4928	16405	30.04	2094	84	4.01	638	30.47	499	Cancer Gene Census
ENSG00000181143	MUC16	mucin 16, cell surface associated	19p13.2	protein_coding	606	2116	28.64	2887	16405	17.60	2094	142	6.78	477	22.78	1299	Cancer Gene Census
ENSG00000164796	CSMD3	CUB and Sushi multiple domains 3	8q23.3	protein_coding	546	2116	25.80	1984	16405	12.09	2094	722	34.48	78	3.72	923	Cancer Gene Census
ENSG00000133703	KRAS	KRAS proto-oncogene, GTPase	12p12.1	protein_coding	520	2116	24.57	1762	16405	10.74	2094	475	22.68	143	6.83	35	Cancer Gene Census
ENSG00000168702	LRP1B	LDL receptor related protein 1B	2q22.1, 2q22.2	protein_coding	436	2116	20.60	1780	16405	10.85	2094	313	14.95	92	4.39	729	Cancer Gene Census
ENSG00000165323	FAT3	FAT atypical cadherin 3	11q14.3	protein_coding	354	2116	16.73	1432	16405	8.73	2094	316	15.09	199	9.50	536	Cancer Gene Census
ENSG00000196159	FAT4	FAT atypical cadherin 4	4q28.1	protein_coding	315	2116	14.89	1440	16405	8.78	2094	117	5.59	357	17.05	461	Cancer Gene Census
ENSG00000171862	PTEN	phosphatase and tensin homolog	10q23.31	protein_coding	294	2116	13.89	1230	16405	7.50	2094	207	9.89	425	20.30	261	Cancer Gene Census
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	1p36.11	protein_coding	246	2116	11.63	1151	16405	7.02	2094	176	8.40	345	16.48	258	Cancer Gene Census
ENSG00000147724	FAM135B	family with sequence similarity 135 member B	8q24.23	protein_coding	243	2116	11.48	947	16405	5.77	2094	700	33.43	87	4.15	296	Cancer Gene Census
ENSG00000167548	KMT2D	lysine methyltransferase 2D	12q13.12	protein_coding	242	2116	11.44	1333	16405	8.13	2094	316	15.09	159	7.59	303	Cancer Gene Census
ENSG00000146648	EGFR	epidermal growth factor receptor	7p11.2	protein_coding	231	2116	10.92	645	16405	3.93	2094	785	37.49	60	2.87	143	Cancer Gene Census
ENSG00000040731	CDH10	cadherin 10	5p14.2, 5p14.1	protein_coding	207	2116	9.78	736	16405	4.49	2094	761	36.34	61	2.91	247	Cancer Gene Census
ENSG00000174469	CNTNAP2	contactin associated protein 2	7q35, 7q36.1	protein_coding	207	2116	9.78	812	16405	4.95	2094	600	28.65	149	7.12	267	Cancer Gene Census
ENSG00000153707	PTPRD	protein tyrosine phosphatase receptor type D	9p24.1, 9p23	protein_coding	203	2116	9.59	766	16405	4.67	2094	165	7.88	666	31.81	254	Cancer Gene Census
ENSG00000121879	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	3q26.32	protein_coding	201	2116	9.50	1673	16405	10.20	2094	504	24.07	169	8.07	110	Cancer Gene Census
ENSG00000083857	FAT1	FAT atypical cadherin 1	4q35.2	protein_coding	200	2116	9.45	1065	16405	6.49	2094	117	5.59	435	20.77	258	Cancer Gene Census
ENSG00000196712	NF1	neurofibromin 1	17q11.2	protein_coding	197	2116	9.31	873	16405	5.32	2094	355	16.95	160	7.64	247	Cancer Gene Census
ENSG00000066032	CTNNA2	catenin alpha 2	2p12	protein_coding	188	2116	8.88	665	16405	4.05	2094	371	17.72	67	3.20	213	Cancer Gene Census
ENSG00000055609	KMT2C	lysine methyltransferase 2C	7q36.1	protein_coding	181	2116	8.55	1059	16405	6.46	2094	611	29.18	157	7.50	247	Cancer Gene Census
ENSG00000134086	VHL	von Hippel-Lindau tumor suppressor	3p25.3	protein_coding	181	2116	8.55	394	16405	2.40	2094	116	5.54	633	30.23	154	Cancer Gene Census
ENSG00000079999	KEAP1	kelch like ECH associated protein 1	19p13.2	protein_coding	178	2116	8.41	374	16405	2.28	2094	155	7.40	447	21.35	173	Cancer Gene Census
ENSG00000196090	PTPRT	protein tyrosine phosphatase receptor type T	20q12, 20q13.11	protein_coding	177	2116	8.36	812	16405	4.95	2094	529	25.26	121	5.78	228	Cancer Gene Census
