gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000141510	TP53	tumor protein p53	17p13.1	protein_coding	406	490	82.86	4952	16477	30.05	496	47	9.48	236	47.58	269	Cancer Gene Census
ENSG00000181143	MUC16	mucin 16, cell surface associated	19p13.2	protein_coding	237	490	48.37	2895	16477	17.57	496	90	18.15	142	28.63	435	Cancer Gene Census
ENSG00000164796	CSMD3	CUB and Sushi multiple domains 3	8q23.3	protein_coding	232	490	47.35	1987	16477	12.06	496	281	56.65	12	2.42	356	Cancer Gene Census
ENSG00000168702	LRP1B	LDL receptor related protein 1B	2q22.1, 2q22.2	protein_coding	180	490	36.73	1781	16477	10.81	496	141	28.43	53	10.69	267	Cancer Gene Census
ENSG00000147724	FAM135B	family with sequence similarity 135 member B	8q24.23	protein_coding	134	490	27.35	949	16477	5.76	496	283	57.06	18	3.63	178	Cancer Gene Census
ENSG00000040731	CDH10	cadherin 10	5p14.2, 5p14.1	protein_coding	111	490	22.65	736	16477	4.47	496	371	74.80	16	3.23	141	Cancer Gene Census
ENSG00000167548	KMT2D	lysine methyltransferase 2D	12q13.12	protein_coding	106	490	21.63	1334	16477	8.10	496	147	29.64	39	7.86	129	Cancer Gene Census
ENSG00000165323	FAT3	FAT atypical cadherin 3	11q14.3	protein_coding	96	490	19.59	1436	16477	8.72	496	110	22.18	97	19.56	120	Cancer Gene Census
ENSG00000174469	CNTNAP2	contactin associated protein 2	7q35, 7q36.1	protein_coding	81	490	16.53	817	16477	4.96	496	172	34.68	58	11.69	93	Cancer Gene Census
ENSG00000196159	FAT4	FAT atypical cadherin 4	4q28.1	protein_coding	80	490	16.33	1442	16477	8.75	496	34	6.85	200	40.32	92	Cancer Gene Census
ENSG00000066032	CTNNA2	catenin alpha 2	2p12	protein_coding	75	490	15.31	667	16477	4.05	496	226	45.56	11	2.22	87	Cancer Gene Census
ENSG00000116044	NFE2L2	nuclear factor, erythroid 2 like 2	2q31.2	protein_coding	70	490	14.29	331	16477	2.01	496	172	34.68	33	6.65	36	Cancer Gene Census
ENSG00000147889	CDKN2A	cyclin dependent kinase inhibitor 2A	9p21.3	protein_coding	70	490	14.29	577	16477	3.50	496	42	8.47	305	61.49	50	Cancer Gene Census
ENSG00000083857	FAT1	FAT atypical cadherin 1	4q35.2	protein_coding	67	490	13.67	1065	16477	6.46	496	36	7.26	226	45.56	78	Cancer Gene Census
